Person	Month	Exercise	Count
Alice	January	Running	12
Alice	January	Cycling	8
Alice	January	Swimming	5
Alice	January	Yoga	10
Alice	January	Weightlifting	7
Alice	February	Running	15
Alice	February	Cycling	6
Alice	February	Swimming	9
Alice	February	Yoga	11
Alice	February	Weightlifting	4
Bob	March	Running	10
Bob	March	Cycling	12
Bob	March	Swimming	8
Bob	March	Yoga	7
Bob	March	Weightlifting	9
Charlie	April	Running	14
Charlie	April	Cycling	10
Charlie	April	Swimming	6
Charlie	April	Yoga	8
Charlie	April	Weightlifting	5
Diana	May	Running	9
Diana	May	Cycling	11
Diana	May	Swimming	7
Diana	May	Yoga	12
Diana	May	Weightlifting	10
Eve	June	Running	13
Eve	June	Cycling	9
Eve	June	Swimming	10
Eve	June	Yoga	6
Eve	June	Weightlifting	8